"VariableName","Value","ValueLabel"
"Fips County code (HD2019)","51067","Franklin County, VA"
"Fips County code (HD2019)","51069","Frederick County, VA"
"Fips County code (HD2019)","51073","Gloucester County, VA"
"Fips County code (HD2019)","51085","Hanover County, VA"
"Fips County code (HD2019)","51087","Henrico County, VA"
"Fips County code (HD2019)","51089","Henry County, VA"
"Fips County code (HD2019)","51107","Loudoun County, VA"
"Fips County code (HD2019)","51121","Montgomery County, VA"
"Fips County code (HD2019)","51137","Orange County, VA"
"Fips County code (HD2019)","51147","Prince Edward County, VA"
"Fips County code (HD2019)","51153","Prince William County, VA"
"Fips County code (HD2019)","51155","Pulaski County, VA"
"Fips County code (HD2019)","51161","Roanoke County, VA"
"Fips County code (HD2019)","51165","Rockingham County, VA"
"Fips County code (HD2019)","6037","Los Angeles County, CA"
"Fips County code (HD2019)","6041","Marin County, CA"
"Fips County code (HD2019)","6045","Mendocino County, CA"
"Fips County code (HD2019)","6047","Merced County, CA"
"Fips County code (HD2019)","6053","Monterey County, CA"
"Fips County code (HD2019)","6055","Napa County, CA"
"Fips County code (HD2019)","6059","Orange County, CA"
"Fips County code (HD2019)","6061","Placer County, CA"
"Fips County code (HD2019)","6063","Plumas County, CA"
"Fips County code (HD2019)","6065","Riverside County, CA"
"Fips County code (HD2019)","6067","Sacramento County, CA"
"Fips County code (HD2019)","6071","San Bernardino County, CA"
"Fips County code (HD2019)","6073","San Diego County, CA"
"Fips County code (HD2019)","6075","San Francisco County, CA"
"Fips County code (HD2019)","6077","San Joaquin County, CA"
"Fips County code (HD2019)","6079","San Luis Obispo County, CA"
"Fips County code (HD2019)","6081","San Mateo County, CA"
"Fips County code (HD2019)","6083","Santa Barbara County, CA"
"Fips County code (HD2019)","6085","Santa Clara County, CA"
"Fips County code (HD2019)","6087","Santa Cruz County, CA"
"Fips County code (HD2019)","6089","Shasta County, CA"
"Fips County code (HD2019)","6093","Siskiyou County, CA"
"Fips County code (HD2019)","6095","Solano County, CA"
"Fips County code (HD2019)","6097","Sonoma County, CA"
"Fips County code (HD2019)","6099","Stanislaus County, CA"
"Fips County code (HD2019)","6101","Sutter County, CA"
"Fips County code (HD2019)","6107","Tulare County, CA"
"Fips County code (HD2019)","6109","Tuolumne County, CA"
"Fips County code (HD2019)","6111","Ventura County, CA"
"Fips County code (HD2019)","6113","Yolo County, CA"
"Fips County code (HD2019)","6115","Yuba County, CA"
"Fips County code (HD2019)","8001","Adams County, CO"
"Fips County code (HD2019)","8003","Alamosa County, CO"
"Fips County code (HD2019)","8005","Arapahoe County, CO"
"Fips County code (HD2019)","8013","Boulder County, CO"
"Fips County code (HD2019)","8014","Broomfield County, CO"
"Fips County code (HD2019)","8029","Delta County, CO"
"Fips County code (HD2019)","8031","Denver County, CO"
"Fips County code (HD2019)","8035","Douglas County, CO"
"Fips County code (HD2019)","8041","El Paso County, CO"
"Fips County code (HD2019)","8045","Garfield County, CO"
"Fips County code (HD2019)","8051","Gunnison County, CO"
"Fips County code (HD2019)","8059","Jefferson County, CO"
"Fips County code (HD2019)","8067","La Plata County, CO"
"Fips County code (HD2019)","8069","Larimer County, CO"
"Fips County code (HD2019)","8071","Las Animas County, CO"
"Fips County code (HD2019)","8075","Logan County, CO"
"Fips County code (HD2019)","8077","Mesa County, CO"
"Fips County code (HD2019)","8087","Morgan County, CO"
"Fips County code (HD2019)","8089","Otero County, CO"
"Fips County code (HD2019)","8099","Prowers County, CO"
"Fips County code (HD2019)","8101","Pueblo County, CO"
"Fips County code (HD2019)","42133","York County, PA"
"Fips County code (HD2019)","44001","Bristol County, RI"
"Fips County code (HD2019)","44003","Kent County, RI"
"Fips County code (HD2019)","44005","Newport County, RI"
"Fips County code (HD2019)","44007","Providence County, RI"
"Fips County code (HD2019)","44009","Washington County, RI"
"Fips County code (HD2019)","45001","Abbeville County, SC"
"Fips County code (HD2019)","45003","Aiken County, SC"
"Fips County code (HD2019)","45005","Allendale County, SC"
"Fips County code (HD2019)","45007","Anderson County, SC"
"Fips County code (HD2019)","45009","Bamberg County, SC"
"Fips County code (HD2019)","45013","Beaufort County, SC"
"Fips County code (HD2019)","45015","Berkeley County, SC"
"Fips County code (HD2019)","45019","Charleston County, SC"
"Fips County code (HD2019)","45021","Cherokee County, SC"
"Fips County code (HD2019)","45025","Chesterfield County, SC"
"Fips County code (HD2019)","45031","Darlington County, SC"
"Fips County code (HD2019)","45035","Dorchester County, SC"
"Fips County code (HD2019)","45041","Florence County, SC"
"Fips County code (HD2019)","45045","Greenville County, SC"
"Fips County code (HD2019)","45047","Greenwood County, SC"
"Fips County code (HD2019)","45051","Horry County, SC"
"Fips County code (HD2019)","45055","Kershaw County, SC"
"Fips County code (HD2019)","45057","Lancaster County, SC"
"Fips County code (HD2019)","45059","Laurens County, SC"
"Fips County code (HD2019)","45063","Lexington County, SC"
"Fips County code (HD2019)","45067","Marion County, SC"
"Fips County code (HD2019)","45071","Newberry County, SC"
"Fips County code (HD2019)","45075","Orangeburg County, SC"
"Fips County code (HD2019)","45077","Pickens County, SC"
"Fips County code (HD2019)","45079","Richland County, SC"
"Fips County code (HD2019)","45083","Spartanburg County, SC"
"Fips County code (HD2019)","45085","Sumter County, SC"
"Fips County code (HD2019)","45087","Union County, SC"
"Fips County code (HD2019)","45089","Williamsburg County, SC"
"Fips County code (HD2019)","45091","York County, SC"
"Fips County code (HD2019)","46011","Brookings County, SD"
"Fips County code (HD2019)","46013","Brown County, SD"
"Fips County code (HD2019)","46027","Clay County, SD"
"Fips County code (HD2019)","46029","Codington County, SD"
"Fips County code (HD2019)","46035","Davison County, SD"
"Fips County code (HD2019)","46079","Lake County, SD"
"Fips County code (HD2019)","46081","Lawrence County, SD"
"Fips County code (HD2019)","46083","Lincoln County, SD"
"Fips County code (HD2019)","46099","Minnehaha County, SD"
"Fips County code (HD2019)","46102","Oglala Lakota County, SD"
"Fips County code (HD2019)","46103","Pennington County, SD"
"Fips County code (HD2019)","46109","Roberts County, SD"
"Fips County code (HD2019)","46121","Todd County, SD"
"Fips County code (HD2019)","46135","Yankton County, SD"
"Fips County code (HD2019)","47003","Bedford County, TN"
"Fips County code (HD2019)","47009","Blount County, TN"
"Fips County code (HD2019)","47079","Henry County, TN"
"Fips County code (HD2019)","47089","Jefferson County, TN"
"Fips County code (HD2019)","47093","Knox County, TN"
"Fips County code (HD2019)","47097","Lauderdale County, TN"
"Fips County code (HD2019)","47099","Lawrence County, TN"
"Fips County code (HD2019)","47101","Lewis County, TN"
"Fips County code (HD2019)","47103","Lincoln County, TN"
"Fips County code (HD2019)","47107","McMinn County, TN"
"Fips County code (HD2019)","47113","Madison County, TN"
"Fips County code (HD2019)","47119","Maury County, TN"
"Fips County code (HD2019)","47123","Monroe County, TN"
"Fips County code (HD2019)","47125","Montgomery County, TN"
"Fips County code (HD2019)","47127","Moore County, TN"
"Fips County code (HD2019)","47133","Overton County, TN"
"Fips County code (HD2019)","47141","Putnam County, TN"
"Fips County code (HD2019)","47143","Rhea County, TN"
"Fips County code (HD2019)","47145","Roane County, TN"
"Fips County code (HD2019)","47149","Rutherford County, TN"
"Fips County code (HD2019)","47151","Scott County, TN"
"Fips County code (HD2019)","47157","Shelby County, TN"
"Fips County code (HD2019)","47163","Sullivan County, TN"
"Fips County code (HD2019)","47165","Sumner County, TN"
"Fips County code (HD2019)","47167","Tipton County, TN"
"Fips County code (HD2019)","47169","Trousdale County, TN"
"Fips County code (HD2019)","47177","Warren County, TN"
"Fips County code (HD2019)","47179","Washington County, TN"
"Fips County code (HD2019)","47183","Weakley County, TN"
"Fips County code (HD2019)","47187","Williamson County, TN"
"Fips County code (HD2019)","47189","Wilson County, TN"
"Fips County code (HD2019)","48005","Angelina County, TX"
"Fips County code (HD2019)","48025","Bee County, TX"
"Fips County code (HD2019)","48027","Bell County, TX"
"Fips County code (HD2019)","39107","Mercer County, OH"
"Fips County code (HD2019)","39109","Miami County, OH"
"Fips County code (HD2019)","39113","Montgomery County, OH"
"Fips County code (HD2019)","39119","Muskingum County, OH"
"Fips County code (HD2019)","39129","Pickaway County, OH"
"Fips County code (HD2019)","39131","Pike County, OH"
"Fips County code (HD2019)","39133","Portage County, OH"
"Fips County code (HD2019)","39139","Richland County, OH"
"Fips County code (HD2019)","39141","Ross County, OH"
"Fips County code (HD2019)","39143","Sandusky County, OH"
"Fips County code (HD2019)","39145","Scioto County, OH"
"Fips County code (HD2019)","39147","Seneca County, OH"
"Fips County code (HD2019)","39151","Stark County, OH"
"Fips County code (HD2019)","39153","Summit County, OH"
"Fips County code (HD2019)","39155","Trumbull County, OH"
"Fips County code (HD2019)","39157","Tuscarawas County, OH"
"Fips County code (HD2019)","39161","Van Wert County, OH"
"Fips County code (HD2019)","39165","Warren County, OH"
"Fips County code (HD2019)","39167","Washington County, OH"
"Fips County code (HD2019)","39169","Wayne County, OH"
"Fips County code (HD2019)","39173","Wood County, OH"
"Fips County code (HD2019)","40013","Bryan County, OK"
"Fips County code (HD2019)","40015","Caddo County, OK"
"Fips County code (HD2019)","40017","Canadian County, OK"
"Fips County code (HD2019)","40019","Carter County, OK"
"Fips County code (HD2019)","40021","Cherokee County, OK"
"Fips County code (HD2019)","40027","Cleveland County, OK"
"Fips County code (HD2019)","40031","Comanche County, OK"
"Fips County code (HD2019)","40037","Creek County, OK"
"Fips County code (HD2019)","40039","Custer County, OK"
"Fips County code (HD2019)","40041","Delaware County, OK"
"Fips County code (HD2019)","40047","Garfield County, OK"
"Fips County code (HD2019)","40051","Grady County, OK"
"Fips County code (HD2019)","53025","Grant County, WA"
"Fips County code (HD2019)","53027","Grays Harbor County, WA"
"Fips County code (HD2019)","53031","Jefferson County, WA"
"Fips County code (HD2019)","53033","King County, WA"
"Fips County code (HD2019)","53035","Kitsap County, WA"
"Fips County code (HD2019)","53037","Kittitas County, WA"
"Fips County code (HD2019)","53041","Lewis County, WA"
"Fips County code (HD2019)","53053","Pierce County, WA"
"Fips County code (HD2019)","53057","Skagit County, WA"
"Fips County code (HD2019)","53061","Snohomish County, WA"
"Fips County code (HD2019)","53063","Spokane County, WA"
"Fips County code (HD2019)","53067","Thurston County, WA"
"Fips County code (HD2019)","53071","Walla Walla County, WA"
"Fips County code (HD2019)","53073","Whatcom County, WA"
"Fips County code (HD2019)","53075","Whitman County, WA"
"Fips County code (HD2019)","53077","Yakima County, WA"
"Fips County code (HD2019)","54001","Barbour County, WV"
"Fips County code (HD2019)","54003","Berkeley County, WV"
"Fips County code (HD2019)","54009","Brooke County, WV"
"Fips County code (HD2019)","54011","Cabell County, WV"
"Fips County code (HD2019)","54019","Fayette County, WV"
"Fips County code (HD2019)","54021","Gilmer County, WV"
"Fips County code (HD2019)","54025","Greenbrier County, WV"
"Fips County code (HD2019)","54029","Hancock County, WV"
"Fips County code (HD2019)","54031","Hardy County, WV"
"Fips County code (HD2019)","54033","Harrison County, WV"
"Fips County code (HD2019)","54035","Jackson County, WV"
"Fips County code (HD2019)","54037","Jefferson County, WV"
"Fips County code (HD2019)","54039","Kanawha County, WV"
"Fips County code (HD2019)","54045","Logan County, WV"
"Fips County code (HD2019)","54049","Marion County, WV"
"Fips County code (HD2019)","54051","Marshall County, WV"
"Fips County code (HD2019)","54055","Mercer County, WV"
"Fips County code (HD2019)","54057","Mineral County, WV"
"Fips County code (HD2019)","54059","Mingo County, WV"
"Fips County code (HD2019)","54061","Monongalia County, WV"
"Fips County code (HD2019)","54069","Ohio County, WV"
"Fips County code (HD2019)","54071","Pendleton County, WV"
"Fips County code (HD2019)","54079","Putnam County, WV"
"Fips County code (HD2019)","54081","Raleigh County, WV"
"Fips County code (HD2019)","54083","Randolph County, WV"
"Fips County code (HD2019)","54097","Upshur County, WV"
"Fips County code (HD2019)","54107","Wood County, WV"
"Fips County code (HD2019)","55003","Ashland County, WI"
"Fips County code (HD2019)","55009","Brown County, WI"
"Fips County code (HD2019)","55025","Dane County, WI"
"Fips County code (HD2019)","55027","Dodge County, WI"
"Fips County code (HD2019)","55031","Douglas County, WI"
"Fips County code (HD2019)","55033","Dunn County, WI"
"Fips County code (HD2019)","55035","Eau Claire County, WI"
"Fips County code (HD2019)","55039","Fond du Lac County, WI"
"Fips County code (HD2019)","55043","Grant County, WI"
"Fips County code (HD2019)","31019","Buffalo County, NE"
"Fips County code (HD2019)","31045","Dawes County, NE"
"Fips County code (HD2019)","31053","Dodge County, NE"
"Fips County code (HD2019)","31055","Douglas County, NE"
"Fips County code (HD2019)","31063","Frontier County, NE"
"Fips County code (HD2019)","31079","Hall County, NE"
"Fips County code (HD2019)","31109","Lancaster County, NE"
"Fips County code (HD2019)","31111","Lincoln County, NE"
"Fips County code (HD2019)","31119","Madison County, NE"
"Fips County code (HD2019)","31127","Nemaha County, NE"
"Fips County code (HD2019)","31151","Saline County, NE"
"Fips County code (HD2019)","31153","Sarpy County, NE"
"Fips County code (HD2019)","31157","Scotts Bluff County, NE"
"Fips County code (HD2019)","31159","Seward County, NE"
"Fips County code (HD2019)","31173","Thurston County, NE"
"Fips County code (HD2019)","31179","Wayne County, NE"
"Fips County code (HD2019)","40063","Hughes County, OK"
"Fips County code (HD2019)","40065","Jackson County, OK"
"Fips County code (HD2019)","40069","Johnston County, OK"
"Fips County code (HD2019)","40071","Kay County, OK"
"Fips County code (HD2019)","40073","Kingfisher County, OK"
"Fips County code (HD2019)","40077","Latimer County, OK"
"Fips County code (HD2019)","40079","Le Flore County, OK"
"Fips County code (HD2019)","40083","Logan County, OK"
"Fips County code (HD2019)","40087","McClain County, OK"
"Fips County code (HD2019)","40089","McCurtain County, OK"
"Fips County code (HD2019)","40093","Major County, OK"
"Fips County code (HD2019)","40097","Mayes County, OK"
"Fips County code (HD2019)","40101","Muskogee County, OK"
"Fips County code (HD2019)","40109","Oklahoma County, OK"
"Fips County code (HD2019)","40111","Okmulgee County, OK"
"Fips County code (HD2019)","40115","Ottawa County, OK"
"Fips County code (HD2019)","40119","Payne County, OK"
"Fips County code (HD2019)","40121","Pittsburg County, OK"
"Fips County code (HD2019)","40123","Pontotoc County, OK"
"Fips County code (HD2019)","40125","Pottawatomie County, OK"
"Fips County code (HD2019)","40131","Rogers County, OK"
"Fips County code (HD2019)","40133","Seminole County, OK"
"Fips County code (HD2019)","40137","Stephens County, OK"
"Fips County code (HD2019)","40139","Texas County, OK"
"Fips County code (HD2019)","40143","Tulsa County, OK"
"Fips County code (HD2019)","40147","Washington County, OK"
"Fips County code (HD2019)","40149","Washita County, OK"
"Fips County code (HD2019)","40151","Woods County, OK"
"Fips County code (HD2019)","40153","Woodward County, OK"
"Fips County code (HD2019)","41003","Benton County, OR"
"Fips County code (HD2019)","41005","Clackamas County, OR"
"Fips County code (HD2019)","41007","Clatsop County, OR"
"Fips County code (HD2019)","41011","Coos County, OR"
"Fips County code (HD2019)","41017","Deschutes County, OR"
"Fips County code (HD2019)","41019","Douglas County, OR"
"Fips County code (HD2019)","41029","Jackson County, OR"
"Fips County code (HD2019)","41033","Josephine County, OR"
"Fips County code (HD2019)","41035","Klamath County, OR"
"Fips County code (HD2019)","41039","Lane County, OR"
"Fips County code (HD2019)","41041","Lincoln County, OR"
"Fips County code (HD2019)","41043","Linn County, OR"
"Fips County code (HD2019)","41045","Malheur County, OR"
"Fips County code (HD2019)","41047","Marion County, OR"
"Fips County code (HD2019)","41051","Multnomah County, OR"
"Fips County code (HD2019)","41053","Polk County, OR"
"Fips County code (HD2019)","41057","Tillamook County, OR"
"Fips County code (HD2019)","41059","Umatilla County, OR"
"Fips County code (HD2019)","41061","Union County, OR"
"Fips County code (HD2019)","41065","Wasco County, OR"
"Fips County code (HD2019)","41067","Washington County, OR"
"Fips County code (HD2019)","41071","Yamhill County, OR"
"Fips County code (HD2019)","42001","Adams County, PA"
"Fips County code (HD2019)","51570","Colonial Heights City, VA"
"Fips County code (HD2019)","51590","Danville City, VA"
"Fips County code (HD2019)","51620","Franklin City, VA"
"Fips County code (HD2019)","51630","Fredericksburg City, VA"
"Fips County code (HD2019)","51650","Hampton City, VA"
"Fips County code (HD2019)","51660","Harrisonburg City, VA"
"Fips County code (HD2019)","51678","Lexington City, VA"
"Fips County code (HD2019)","51680","Lynchburg City, VA"
"Fips County code (HD2019)","51700","Newport News City, VA"
"Fips County code (HD2019)","51710","Norfolk City, VA"
"Fips County code (HD2019)","51730","Petersburg City, VA"
"Fips County code (HD2019)","51750","Radford City, VA"
"Fips County code (HD2019)","51760","Richmond City, VA"
"Fips County code (HD2019)","51770","Roanoke City, VA"
"Fips County code (HD2019)","51775","Salem City, VA"
"Fips County code (HD2019)","51790","Staunton City, VA"
"Fips County code (HD2019)","51800","Suffolk City, VA"
"Fips County code (HD2019)","51810","Virginia Beach City, VA"
"Fips County code (HD2019)","51830","Williamsburg City, VA"
"Fips County code (HD2019)","51840","Winchester City, VA"
"Fips County code (HD2019)","53005","Benton County, WA"
"Fips County code (HD2019)","53007","Chelan County, WA"
"Fips County code (HD2019)","53009","Clallam County, WA"
"Fips County code (HD2019)","53011","Clark County, WA"
"Fips County code (HD2019)","53015","Cowlitz County, WA"
"Fips County code (HD2019)","53021","Franklin County, WA"
"Fips County code (HD2019)","36095","Schoharie County, NY"
"Fips County code (HD2019)","36099","Seneca County, NY"
"Fips County code (HD2019)","36101","Steuben County, NY"
"Fips County code (HD2019)","36103","Suffolk County, NY"
"Fips County code (HD2019)","36105","Sullivan County, NY"
"Fips County code (HD2019)","36109","Tompkins County, NY"
"Fips County code (HD2019)","36111","Ulster County, NY"
"Fips County code (HD2019)","36113","Warren County, NY"
"Fips County code (HD2019)","36115","Washington County, NY"
"Fips County code (HD2019)","48029","Bexar County, TX"
"Fips County code (HD2019)","48037","Bowie County, TX"
"Fips County code (HD2019)","48039","Brazoria County, TX"
"Fips County code (HD2019)","48041","Brazos County, TX"
"Fips County code (HD2019)","48043","Brewster County, TX"
"Fips County code (HD2019)","48049","Brown County, TX"
"Fips County code (HD2019)","48061","Cameron County, TX"
"Fips County code (HD2019)","48073","Cherokee County, TX"
"Fips County code (HD2019)","48085","Collin County, TX"
"Fips County code (HD2019)","48091","Comal County, TX"
"Fips County code (HD2019)","48097","Cooke County, TX"
"Fips County code (HD2019)","48099","Coryell County, TX"
"Fips County code (HD2019)","48113","Dallas County, TX"
"Fips County code (HD2019)","48121","Denton County, TX"
"Fips County code (HD2019)","48129","Donley County, TX"
"Fips County code (HD2019)","48133","Eastland County, TX"
"Fips County code (HD2019)","48135","Ector County, TX"
"Fips County code (HD2019)","48139","Ellis County, TX"
"Fips County code (HD2019)","48141","El Paso County, TX"
"Fips County code (HD2019)","48143","Erath County, TX"
"Fips County code (HD2019)","48157","Fort Bend County, TX"
"Fips County code (HD2019)","48167","Galveston County, TX"
"Fips County code (HD2019)","48181","Grayson County, TX"
"Fips County code (HD2019)","48183","Gregg County, TX"
"Fips County code (HD2019)","48187","Guadalupe County, TX"
"Fips County code (HD2019)","48189","Hale County, TX"
"Fips County code (HD2019)","48199","Hardin County, TX"
"Fips County code (HD2019)","48201","Harris County, TX"
"Fips County code (HD2019)","48203","Harrison County, TX"
"Fips County code (HD2019)","48209","Hays County, TX"
"Fips County code (HD2019)","48213","Henderson County, TX"
"Fips County code (HD2019)","48215","Hidalgo County, TX"
"Fips County code (HD2019)","48217","Hill County, TX"
"Fips County code (HD2019)","48219","Hockley County, TX"
"Fips County code (HD2019)","48227","Howard County, TX"
"Fips County code (HD2019)","48231","Hunt County, TX"
"Fips County code (HD2019)","48233","Hutchinson County, TX"
"Fips County code (HD2019)","48241","Jasper County, TX"
"Fips County code (HD2019)","48245","Jefferson County, TX"
"Fips County code (HD2019)","48251","Johnson County, TX"
"Fips County code (HD2019)","48257","Kaufman County, TX"
"Fips County code (HD2019)","48265","Kerr County, TX"
"Fips County code (HD2019)","48273","Kleberg County, TX"
"Fips County code (HD2019)","48277","Lamar County, TX"
"Fips County code (HD2019)","48303","Lubbock County, TX"
"Fips County code (HD2019)","48309","McLennan County, TX"
"Fips County code (HD2019)","48323","Maverick County, TX"
"Fips County code (HD2019)","48329","Midland County, TX"
"Fips County code (HD2019)","48339","Montgomery County, TX"
"Fips County code (HD2019)","48347","Nacogdoches County, TX"
"Fips County code (HD2019)","48349","Navarro County, TX"
"Fips County code (HD2019)","48355","Nueces County, TX"
"Fips County code (HD2019)","48361","Orange County, TX"
"Fips County code (HD2019)","48381","Randall County, TX"
"Fips County code (HD2019)","48409","San Patricio County, TX"
"Fips County code (HD2019)","48415","Scurry County, TX"
"Fips County code (HD2019)","48423","Smith County, TX"
"Fips County code (HD2019)","48439","Tarrant County, TX"
"Fips County code (HD2019)","48441","Taylor County, TX"
"Fips County code (HD2019)","48449","Titus County, TX"
"Fips County code (HD2019)","48451","Tom Green County, TX"
"Fips County code (HD2019)","48453","Travis County, TX"
"Fips County code (HD2019)","48463","Uvalde County, TX"
"Fips County code (HD2019)","48469","Victoria County, TX"
"Fips County code (HD2019)","48471","Walker County, TX"
"Fips County code (HD2019)","48473","Waller County, TX"
"Fips County code (HD2019)","48477","Washington County, TX"
"Fips County code (HD2019)","48479","Webb County, TX"
"Fips County code (HD2019)","48481","Wharton County, TX"
"Fips County code (HD2019)","48485","Wichita County, TX"
"Fips County code (HD2019)","48487","Wilbarger County, TX"
"Fips County code (HD2019)","48491","Williamson County, TX"
"Fips County code (HD2019)","48499","Wood County, TX"
"Fips County code (HD2019)","49005","Cache County, UT"
"Fips County code (HD2019)","49011","Davis County, UT"
"Fips County code (HD2019)","49021","Iron County, UT"
"Fips County code (HD2019)","49035","Salt Lake County, UT"
"Fips County code (HD2019)","49039","Sanpete County, UT"
"Fips County code (HD2019)","49045","Tooele County, UT"
"Fips County code (HD2019)","49047","Uintah County, UT"
"Fips County code (HD2019)","49049","Utah County, UT"
"Fips County code (HD2019)","49051","Wasatch County, UT"
"Fips County code (HD2019)","49053","Washington County, UT"
"Fips County code (HD2019)","49057","Weber County, UT"
"Fips County code (HD2019)","50001","Addison County, VT"
"Fips County code (HD2019)","50003","Bennington County, VT"
"Fips County code (HD2019)","50007","Chittenden County, VT"
"Fips County code (HD2019)","50015","Lamoille County, VT"
"Fips County code (HD2019)","50017","Orange County, VT"
"Fips County code (HD2019)","50019","Orleans County, VT"
"Fips County code (HD2019)","50021","Rutland County, VT"
"Fips County code (HD2019)","50023","Washington County, VT"
"Fips County code (HD2019)","50025","Windham County, VT"
"Fips County code (HD2019)","50027","Windsor County, VT"
"Fips County code (HD2019)","51001","Accomack County, VA"
"Fips County code (HD2019)","51003","Albemarle County, VA"
"Fips County code (HD2019)","51005","Alleghany County, VA"
"Fips County code (HD2019)","51009","Amherst County, VA"
"Fips County code (HD2019)","51013","Arlington County, VA"
"Fips County code (HD2019)","51015","Augusta County, VA"
"Fips County code (HD2019)","51025","Brunswick County, VA"
"Fips County code (HD2019)","51027","Buchanan County, VA"
"Fips County code (HD2019)","51177","Spotsylvania County, VA"
"Fips County code (HD2019)","51185","Tazewell County, VA"
"Fips County code (HD2019)","51191","Washington County, VA"
"Fips County code (HD2019)","51195","Wise County, VA"
"Fips County code (HD2019)","51197","Wythe County, VA"
"Fips County code (HD2019)","51520","Bristol City, VA"
"Fips County code (HD2019)","51530","Buena Vista City, VA"
"Fips County code (HD2019)","51550","Chesapeake City, VA"
"Fips County code (HD2019)","4005","Coconino County, AZ"
"Fips County code (HD2019)","4009","Graham County, AZ"
"Fips County code (HD2019)","4013","Maricopa County, AZ"
"Fips County code (HD2019)","4015","Mohave County, AZ"
"Fips County code (HD2019)","4017","Navajo County, AZ"
"Fips County code (HD2019)","4019","Pima County, AZ"
"Fips County code (HD2019)","4021","Pinal County, AZ"
"Fips County code (HD2019)","4025","Yavapai County, AZ"
"Fips County code (HD2019)","4027","Yuma County, AZ"
"Fips County code (HD2019)","5005","Baxter County, AR"
"Fips County code (HD2019)","5007","Benton County, AR"
"Fips County code (HD2019)","5009","Boone County, AR"
"Fips County code (HD2019)","5013","Calhoun County, AR"
"Fips County code (HD2019)","5019","Clark County, AR"
"Fips County code (HD2019)","5027","Columbia County, AR"
"Fips County code (HD2019)","5029","Conway County, AR"
"Fips County code (HD2019)","5031","Craighead County, AR"
"Fips County code (HD2019)","5035","Crittenden County, AR"
"Fips County code (HD2019)","5037","Cross County, AR"
"Fips County code (HD2019)","5043","Drew County, AR"
"Fips County code (HD2019)","5045","Faulkner County, AR"
"Fips County code (HD2019)","5051","Garland County, AR"
"Fips County code (HD2019)","5055","Greene County, AR"
"Fips County code (HD2019)","5057","Hempstead County, AR"
"Fips County code (HD2019)","5059","Hot Spring County, AR"
"Fips County code (HD2019)","5063","Independence County, AR"
"Fips County code (HD2019)","5065","Izard County, AR"
"Fips County code (HD2019)","5067","Jackson County, AR"
"Fips County code (HD2019)","5069","Jefferson County, AR"
"Fips County code (HD2019)","5071","Johnson County, AR"
"Fips County code (HD2019)","5075","Lawrence County, AR"
"Fips County code (HD2019)","5093","Mississippi County, AR"
"Fips County code (HD2019)","5107","Phillips County, AR"
"Fips County code (HD2019)","5113","Polk County, AR"
"Fips County code (HD2019)","5115","Pope County, AR"
"Fips County code (HD2019)","5119","Pulaski County, AR"
"Fips County code (HD2019)","5121","Randolph County, AR"
"Fips County code (HD2019)","5123","St. Francis County, AR"
"Fips County code (HD2019)","5131","Sebastian County, AR"
"Fips County code (HD2019)","5133","Sevier County, AR"
"Fips County code (HD2019)","5139","Union County, AR"
"Fips County code (HD2019)","5143","Washington County, AR"
"Fips County code (HD2019)","5145","White County, AR"
"Fips County code (HD2019)","6001","Alameda County, CA"
"Fips County code (HD2019)","6007","Butte County, CA"
"Fips County code (HD2019)","6013","Contra Costa County, CA"
"Fips County code (HD2019)","6017","El Dorado County, CA"
"Fips County code (HD2019)","6019","Fresno County, CA"
"Fips County code (HD2019)","6023","Humboldt County, CA"
"Fips County code (HD2019)","6025","Imperial County, CA"
"Fips County code (HD2019)","6029","Kern County, CA"
"Fips County code (HD2019)","6031","Kings County, CA"
"Fips County code (HD2019)","6035","Lassen County, CA"
"Fips County code (HD2019)","42003","Allegheny County, PA"
"Fips County code (HD2019)","42005","Armstrong County, PA"
"Fips County code (HD2019)","42007","Beaver County, PA"
"Fips County code (HD2019)","42011","Berks County, PA"
"Fips County code (HD2019)","42013","Blair County, PA"
"Fips County code (HD2019)","42015","Bradford County, PA"
"Fips County code (HD2019)","42017","Bucks County, PA"
"Fips County code (HD2019)","42019","Butler County, PA"
"Fips County code (HD2019)","42021","Cambria County, PA"
"Fips County code (HD2019)","42027","Centre County, PA"
"Fips County code (HD2019)","42029","Chester County, PA"
"Fips County code (HD2019)","42031","Clarion County, PA"
"Fips County code (HD2019)","42033","Clearfield County, PA"
"Fips County code (HD2019)","42035","Clinton County, PA"
"Fips County code (HD2019)","42037","Columbia County, PA"
"Fips County code (HD2019)","42039","Crawford County, PA"
"Fips County code (HD2019)","42041","Cumberland County, PA"
"Fips County code (HD2019)","42043","Dauphin County, PA"
"Fips County code (HD2019)","42045","Delaware County, PA"
"Fips County code (HD2019)","42049","Erie County, PA"
"Fips County code (HD2019)","42051","Fayette County, PA"
"Fips County code (HD2019)","42055","Franklin County, PA"
"Fips County code (HD2019)","42059","Greene County, PA"
"Fips County code (HD2019)","42061","Huntingdon County, PA"
"Fips County code (HD2019)","42063","Indiana County, PA"
"Fips County code (HD2019)","42065","Jefferson County, PA"
"Fips County code (HD2019)","42069","Lackawanna County, PA"
"Fips County code (HD2019)","42071","Lancaster County, PA"
"Fips County code (HD2019)","42073","Lawrence County, PA"
"Fips County code (HD2019)","42075","Lebanon County, PA"
"Fips County code (HD2019)","42077","Lehigh County, PA"
"Fips County code (HD2019)","42079","Luzerne County, PA"
"Fips County code (HD2019)","42081","Lycoming County, PA"
